Song;Author_band;Songwriters;Duration;Album;Album_type;No_on_album;Release_date;Link;Lyrics
2 x 4;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;5:28;Load;Album;2;1996-06-04;https://www.metallica.com/songs/2x4.html;I’m gonna make you shake you take you,I’m gonna be the one who breaks you,Put the screws to you yeah my way,Yeah come on and come on come and make my day,Make my day, ,Got some hell to pay I steal your thunder,The joy of violent movement pulls you under,Bite the bullet well hard,Yeah but I die harder so go too far,Too far, ,Friction fusion retribution,I can’t hear you talk to me,I can’t hear you so talk to me,I can’t hear you are you talking to me?,I can’t hear you are you talking to me?,I can’t hear you time to meet my lord,I can’t hear you talk to two by four, ,I’m gonna make you shake you take you,I’m gonna be that one who breaks you,Put the screws to you my way,Hey come on and come on come and make my day,Make my day, ,Friction fusion retribution,I can’t hear you talk to me,I can’t hear you come talk to me,I can’t hear you are you talking to me?,I can’t hear you are you talking to me?,I can’t hear you time to meet my lord,I can’t hear you talk to two by four, ,Talk to two by four,It don’t take no more, ,Friction fusion retribution,I’m gonna make you talk to me,I’m gonna trick you so talk to me,I can’t hear you are you talking to me?,I can’t hear you you talking to me?,I can’t hear you time to meet my lord,I can’t hear you talk to two by four,She don’t take no more
53rd & 3rd;The Ramones;Douglas Colvin;2:21;We're a Happy Family: A Tribute to Ramones;Compilation;4;2003-02-11;https://www.metallica.com/songs/53rd-and-3rd.html;If you think you can well come on man,I was a Green Beret in Viet Nam,No more of your fairy stories,‘Cause I got my other worries, ,53rd and 3rd,Standing on the street,53rd and 3rd,I’m tryin’ to turn a trick, ,53rd and 3rd,You’re the one they never pick,53rd and 3rd,Don’t it make you feel sick?, ,If you think you can well come on man,I was a Green Beret in Viet Nam,No more of your fairy stories,‘Cause I got my other worries, ,53rd and 3rd,Standing on the street,53rd and 3rd,I’m tryin’ to turn a trick, ,53rd and 3rd,You’re the one they never pick,53rd and 3rd,Don’t it make you feel sick?, ,Then I took out my razor blade,Then I did what God forbade,Now the cops are after me,But I proved that I’m no sissy, ,53rd and 3rd,Standing on the street,53rd and 3rd,I’m tryin’ to turn a trick, ,53rd and 3rd,You’re the one they never pick,53rd and 3rd,Don’t it make you feel sick?, ,53rd and 3rd
72 Seasons;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett;7:39;72 Seasons;Album;1;2023-04-14;https://www.metallica.com/songs/72-seasons.html;Feeding on the wrath of man,Shot down,Traumatic,Time haunted by the past,Long gone,Dogmatic,Although the die is cast, ,Shot down,Volcanic,But what is done is done and done,Look back,Psychotic,No chance before this life began, ,Staring into black light,Dominating birthright, ,Wrath of man,Leaching through,Split in two, ,Wrath of man,Crash into,Point of view, ,Wrath of man,Violence,Inheritance, ,Wrath of man,Thrive upon,Feeding on,72 seasons gone, ,Feeding on the wrath of man,Shoot back,Erratic,Mad seasons take their toll,New mask,Chaotic,Completely lost control, ,Shoot back,Fanatic,Wither under looming shadow cast,Slip back,Narcotic,Blinded by the ashes of the past, ,Staring into black light,Choking on the stage fright, ,Wrath of man,Leaching through,Split in two, ,Wrath of man,Crash into,Point of view, ,Wrath of man,Violence,Inheritance, ,Wrath of man,Thrive upon,Feeding on,72 seasons gone, ,Piercing through,Cut in two,Polarize, ,Point of view,Crash into,Paralyze, ,Feeding on the wrath of man,Man down,Barbaric,Quick fire machine gun thoughts,Deep seed,Stigmatic,Some have and some have not, ,Man down,Demonic,No mercy from the ghost within,Turn back,Hypnotic,There’s breathing out but not back in, ,Staring into black light,Permanently midnight, ,Wrath of man,Leaching through,Split in two, ,Wrath of man,Crash into,Point of view, ,Wrath of man,Violence,Inheritance, ,Wrath of man,Thrive upon,Feeding on,72 seasons gone, ,Feeding on the wrath of man
Ain’t My Bitch;Metallica;James Hetfield,Lars Ulrich;5:04;Load;Album;1;1996-06-04;https://www.metallica.com/songs/aint-my-bitch.html;Outta my way,Outta my day,Out of your mind and into mine, ,Into no one,Into not one,Into your step but out of time, ,Headstrong,What’s wrong?,I’ve already heard this song before,You arrived but now it’s time to kiss your ass goodbye, ,Dragging me down,Why you around?,So useless, ,It ain’t my fall,It ain’t my call,It ain’t my bitch,It ain’t my bitch, ,Down on the sun,Down and no fun,Down and out where the hell you been?, ,Damn it all down,Damn it unbound,Damn it all down to hell again, ,Stand tall,Can’t fall,Never even bend at all before,You arrived but now it’s time to kiss your ass goodbye, ,Dragging me down,Why you around?,So useless, ,It ain’t my fall,It ain’t my call,It ain’t my bitch, ,Outta my way, ,Outta my way,Outta my day,Out of your mind and into mine, ,Into no one,Into not one,Into your step but out of time, ,Headstrong,What’s wrong?,I’ve already heard this song before,You arrived but now it’s time to kiss your ass goodbye,And now it’s time to kiss your ass goodbye, ,Dragging me down,While you around?,So useless, ,It ain’t my fall,It ain’t my call,It ain’t my bitch, ,No way but down,Why you’re around,No fooling, ,It ain’t my smile,It ain’t my style,It ain’t my bitch,Oh it ain’t mine, ,Ain’t mine,Your kind,You’re stepping out of time, ,Ain’t mine,Your kind,You’re stepping out of time, ,Taking me down,Why you around,No fooling, ,It ain’t my fall,It ain’t my call,It ain’t my bitch,You ain’t mine
All Day and All of the Night;The Kinks;Ray Davies;;;;;;https://www.metallica.com/songs/all-day-and-all-of-the-night.html;I’m not content to be with you in the daytime,Girl I want to be with you all of the time,The only time I feel alright is by your side, ,Girl I want to be with you all of the time,All day and all of the night,All day and all of the night,All day and all of the night, ,I believe that you and me last forever,Oh yea all day and nighttime yours leave me never,The only time I feel alright is by your side, ,Girl I want to be with you all of the time,All day and all of the night,All day and all of the night,All day and all of the night, ,I believe that you and me last forever,Oh yea all day and nighttime yours leave me never,The only time I feel alright is by your side, ,Girl I want to be with you all of the time,All day and all of the night,All day and all of the night,All day and all of the night
All Nightmare Long;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Robert Trujillo;8:01;Death Magnetic;Album;5;2008-09-12;https://www.metallica.com/songs/all-nightmare-long.html;Luck. Runs. Out., ,Crawl from the wreckage one more time,Horrific memory twists the mind,Dark rutted cold and hard to turn,Path of destruction feel it burn, ,Still life... incarnation,Still life... infamy, ,Hallucination,Heresy,Still you run what’s to come what’s to be, ,‘Cause we...,Hunt you down without mercy,Hunt you down all nightmare long,Feel us breathe upon your face,Feel us shift every move we trace,Hunt you down without mercy,Hunt you down all nightmare long, ,Luck. Runs. Out.,You crawl back in,But your luck runs out, ,Luck. Runs. Out., ,The light that is not light is here,To flush you out with your own fear,You hide you hide but will be found,Release your grip without a sound, ,Still life... immolation,Still life... infamy, ,Hallucination,Heresy,Still you run what’s to come what’s to be, ,‘Cause we...,Hunt you down without mercy,Hunt you down all nightmare long,Feel us breathe upon your face,Feel us shift every move we trace,Hunt you down without mercy,Hunt you down all nightmare long, ,Luck. Runs. Out.,You crawl back in but your luck runs out, ,Then you crawl back in,Into your obsession,Never to return,This is your confession, ,Hunt you down without mercy,Hunt you down all nightmare long,Feel us breathe upon your face,Feel us shift every move we trace,Hunt you down without mercy,Hunt you down all nightmare long, ,Luck. Runs. Out., ,You crawl back in but your luck runs out,Your luck runs out
All Within My Hands;Metallica;James Hetfield,Lars Ulrich,Kirk Hammett,Bob Rock;8:48;St. Anger;Album;11;2003-06-05;https://www.metallica.com/songs/all-within-my-hands.html;All within my hands,Squeeze it in crush it down,All within my hands,Hold it dear hold it suffocate, ,All within my hands,Love to death smack you ’round & ’round and,All within my hands,Beware, ,Love is control,I’ll die if I let go, ,Hate me now,Kill all within my hands,Hate me now,Crush all within my hands,Squeeze all within my hands,Choke all within my hands,Hate me now,Trap all within my hands,Hurry up and hate me now,Kill all within my hands, ,All within my hands,Take your fear pump me up,All within my hands,Let you run then I pull your leash, ,All within my hands,Under thumb under to myself,All within my hands,Beware, ,Love is control,I’ll die if I let go, ,Hate me now,Kill all within my hands,Hate me now,Crush all within my hands,Squeeze all within my hands,Choke all within my hands,Hate me now,Trap all within my hands,Hurry up and hate me now,Kill all within my hands again, ,I’ll die if I let go,Control is love love is control,I’ll fall if I let go,Control is love love is control, ,I will only let you breathe,My air that you receive,Then we’ll see if I let you love me, ,Kill Kill Kill Kill Kill
All Your Lies;Soundgarden;Chris Cornell,Kim Thayil,Hiro Yamamoto;;;;;;https://www.metallica.com/songs/all-your-lies.html;All your fears are lies,All your fears are lies,All your fears are lies,All your fears are lies, ,See-through your tripless falling limping crawling,Biting fighting back from dying,Endless ending comprehending,Nothing of the sin she’s sinning,Loosely buying your cheating your lying,Will make it mine with no more crying,Corralled like a cat with my head in a sack,And I feel like I’m tied to a railroad track, ,All your fears are lies,All your fears are lies,All your fears are lies,All your fears are lies, ,See-through your tripless falling limping crawling,Biting fighting back from dying,Endless ending comprehending,Nothing of the sin she’s sinning,Loosely buying your cheating your lying,Will make it mine never crying,Corralled like a cat with my head in a sack,And I feel like I’m tied to a railroad track, ,All your fears are lies,All your fears are lies,All your fears are lies,All your fears are lies, ,Loosely buying your cheating your lying,Will make it mine to kill and never cry,Corralled like a cat with my head in a sack,And feel like I’m tied to the railroad track
Am I Evil?;Diamond Head;Sean Harris,Brian Tatler;7:49;Creeping Death;Single;2;1984-11-23;https://www.metallica.com/songs/am-i-evil.html;My mother was a witch she was burned alive,Thankless little bitch for the tears I cried,Take her down now don’t want to see her face,All blistered and burnt can’t hide my disgrace, ,Twenty-seven everyone was nice,Gotta see ‘em make ‘em pay the price,See their bodies out on the ice,Take my time, ,Am I evil?,Yes I am,Am I evil?,I am man,Yes I am, ,As I watched my mother die I lost my head,Revenge now I sought to break with my bread,Takin’ no chances you come with me,I’ll split you to the bone help set you free, ,Twenty-seven everyone was nice,Gotta see ‘em make ‘em pay the price,See their bodies out on the ice,Take my time, ,Am I evil?,Yes I am,Am I evil?,I am man,Yes I am, ,On with the action now I’ll strip your pride,I’ll spread your blood around I’ll see you ride,Your face is scarred with steel wounds deep and neat,Like a devil dancin’ before ya smells so sweet, ,Am I evil?,Yes I am,Am I evil?,I am man, ,I’ll make my residence I’ll watch your fire,You can come with me sweet desire,My face is long forgot my face not my own,Sweet untimely whore take me home, ,Am I evil?,Yes I am,Am I evil?,I am man, ,My soul is longing for await my heir,Sent to avenge my mother sweetin’ myself,My face is long forgot my face not my own,Sweet untimely whore take me home, ,Am I evil?,Yes I am,Am I evil?,I am man,Am I evil?,Yes I fucking am,Am I evil?,I am man
Am I Savage?;Metallica;James Hetfield,Lars Ulrich;6:30;Hardwired... to Self-Destruct;Album;10;2016-11-18;https://www.metallica.com/songs/am-i-savage.html;Ooooh,Run away the past will bite again,Ooooh,No matter where you dwell,You,Here again a captive of the howl,You,Welcome back to hell, ,Faithful as the full moon is rising,Beauty and the Beast are colliding, ,Sharpened edge touch liquid flame,Deepened seed soaks angers reign,Arching back shape-shift derange,Father how I watched you change, ,Am I savage?,Scratching at the door,Am I savage?,I don’t recognize you anymore, ,Ooooh,Tooth is fang twisting under skin,Ooooh,Foul tongue black breath,Change,Snap inside the Beast about complete,Change,Soon infects the rest, ,Faithful as the full moon is rising,Beauty and the Beast are colliding, ,Sharpened edge touch liquid flame,Deepened seed soaks angers reign,Arching back shape-shift derange,Father how I watched you change, ,Am I savage?,Howling at the door,Am I savage?,I don’t recognize you anymore,Anymore, ,,Ooooh,Inheritance the past has bit again,Ooooh,The next heir of anarchy,Feel,Stretching skin so far beyond belief,I feel,The ever changing you in me, ,Am I savage?,Scratching at the door,Am I savage?,Howling evermore,Am I savage?,I don’t recognize me anymore,Anymore, ,Anymore ha ha ha,Am I savage?
