Song,Author_band,Lyrics
2 x 4,Metallica,i m gonna make you shake you take you i m gonna be the one who breaks you put the screws to you yeah my way yeah come on and come on come and make my day make my day   got some hell to pay i steal your thunder the joy of violent movement pulls you under bite the bullet well hard yeah but i die harder so go too far too far   friction fusion retribution i can t hear you talk to me i can t hear you so talk to me i can t hear you are you talking to me i can t hear you are you talking to me i can t hear you time to meet my lord i can t hear you talk to two by four   i m gonna make you shake you take you i m gonna be that one who breaks you put the screws to you my way hey come on and come on come and make my day make my day   friction fusion retribution i can t hear you talk to me i can t hear you come talk to me i can t hear you are you talking to me i can t hear you are you talking to me i can t hear you time to meet my lord i can t hear you talk to two by four   talk to two by four it don t take no more   friction fusion retribution i m gonna make you talk to me i m gonna trick you so talk to me i can t hear you are you talking to me i can t hear you you talking to me i can t hear you time to meet my lord i can t hear you talk to two by four she don t take no more
72 Seasons,Metallica,feeding on the wrath of man shot down traumatic time haunted by the past long gone dogmatic although the die is cast   shot down volcanic but what is done is done and done look back psychotic no chance before this life began   staring into black light dominating birthright   wrath of man leaching through split in two   wrath of man crash into point of view   wrath of man violence inheritance   wrath of man thrive upon feeding on 7  seasons gone   feeding on the wrath of man shoot back erratic mad seasons take their toll new mask chaotic completely lost control   shoot back fanatic wither under looming shadow cast slip back narcotic blinded by the ashes of the past   staring into black light choking on the stage fright   wrath of man leaching through split in two   wrath of man crash into point of view   wrath of man violence inheritance   wrath of man thrive upon feeding on 7  seasons gone   piercing through cut in two polarize   point of view crash into paralyze   feeding on the wrath of man man down barbaric quick fire machine gun thoughts deep seed stigmatic some have and some have not   man down demonic no mercy from the ghost within turn back hypnotic there s breathing out but not back in   staring into black light permanently midnight   wrath of man leaching through split in two   wrath of man crash into point of view   wrath of man violence inheritance   wrath of man thrive upon feeding on 7  seasons gone   feeding on the wrath of man
Ain’t My Bitch,Metallica,outta my way outta my day out of your mind and into mine   into no one into not one into your step but out of time   headstrong what s wrong i ve already heard this song before you arrived but now it s time to kiss your ass goodbye   dragging me down why you around so useless   it ain t my fall it ain t my call it ain t my bitch it ain t my bitch   down on the sun down and no fun down and out where the hell you been   damn it all down damn it unbound damn it all down to hell again   stand tall can t fall never even bend at all before you arrived but now it s time to kiss your ass goodbye   dragging me down why you around so useless   it ain t my fall it ain t my call it ain t my bitch   outta my way   outta my way outta my day out of your mind and into mine   into no one into not one into your step but out of time   headstrong what s wrong i ve already heard this song before you arrived but now it s time to kiss your ass goodbye and now it s time to kiss your ass goodbye   dragging me down while you around so useless   it ain t my fall it ain t my call it ain t my bitch   no way but down why you re around no fooling   it ain t my smile it ain t my style it ain t my bitch oh it ain t mine   ain t mine your kind you re stepping out of time   ain t mine your kind you re stepping out of time   taking me down why you around no fooling   it ain t my fall it ain t my call it ain t my bitch you ain t mine
All Nightmare Long,Metallica,luck  runs  out   crawl from the wreckage one more time horrific memory twists the mind dark rutted cold and hard to turn path of destruction feel it burn   still life  incarnation still life  infamy   hallucination heresy still you run what s to come what s to be   cause we hunt you down without mercy hunt you down all nightmare long feel us breathe upon your face feel us shift every move we trace hunt you down without mercy hunt you down all nightmare long   luck  runs  out you crawl back in but your luck runs out   luck  runs  out   the light that is not light is here to flush you out with your own fear you hide you hide but will be found release your grip without a sound   still life  immolation still life  infamy   hallucination heresy still you run what s to come what s to be   cause we hunt you down without mercy hunt you down all nightmare long feel us breathe upon your face feel us shift every move we trace hunt you down without mercy hunt you down all nightmare long   luck  runs  out you crawl back in but your luck runs out   then you crawl back in into your obsession never to return this is your confession   hunt you down without mercy hunt you down all nightmare long feel us breathe upon your face feel us shift every move we trace hunt you down without mercy hunt you down all nightmare long   luck  runs  out   you crawl back in but your luck runs out your luck runs out
All Within My Hands,Metallica,all within my hands squeeze it in crush it down all within my hands hold it dear hold it suffocate   all within my hands love to death smack you  round    round and all within my hands beware   love is control i ll die if i let go   hate me now kill all within my hands hate me now crush all within my hands squeeze all within my hands choke all within my hands hate me now trap all within my hands hurry up and hate me now kill all within my hands   all within my hands take your fear pump me up all within my hands let you run then i pull your leash   all within my hands under thumb under to myself all within my hands beware   love is control i ll die if i let go   hate me now kill all within my hands hate me now crush all within my hands squeeze all within my hands choke all within my hands hate me now trap all within my hands hurry up and hate me now kill all within my hands again   i ll die if i let go control is love love is control i ll fall if i let go control is love love is control   i will only let you breathe my air that you receive then we ll see if i let you love me   kill kill kill kill kill
Am I Savage?,Metallica,ooooh run away the past will bite again ooooh no matter where you dwell you here again a captive of the howl you welcome back to hell   faithful as the full moon is rising beauty and the beast are colliding   sharpened edge touch liquid flame deepened seed soaks angers reign arching back shape shift derange father how i watched you change   am i savage scratching at the door am i savage i don t recognize you anymore   ooooh tooth is fang twisting under skin ooooh foul tongue black breath change snap inside the beast about complete change soon infects the rest   faithful as the full moon is rising beauty and the beast are colliding   sharpened edge touch liquid flame deepened seed soaks angers reign arching back shape shift derange father how i watched you change   am i savage howling at the door am i savage i don t recognize you anymore anymore   ooooh inheritance the past has bit again ooooh the next heir of anarchy feel stretching skin so far beyond belief i feel the ever changing you in me   am i savage scratching at the door am i savage howling evermore am i savage i don t recognize me anymore anymore   anymore ha ha ha am i savage
...And Justice for All,Metallica,halls of justice painted green money talking power wolves beset your door hear them stalking soon you ll please their appetite they devour hammer of justice crushes you overpower   the ultimate in vanity exploiting their supremacy i can t believe the things you say i can t believe i can t believe the price you pay nothing can save you   justice is lost justice is raped justice is gone pulling your strings justice is done seeking no truth winning is all find it so grim so true so real   apathy their stepping stone so unfeeling hidden deep animosity so deceiving through your eyes their light burns hoping to find inquisition sinking you with prying minds   the ultimate in vanity exploiting their supremacy i can t believe the things you say i can t believe i can t believe the price you pay nothing can save you   justice is lost justice is raped justice is gone pulling your strings justice is done seeking no truth winning is all find it so grim so true so real   lady justice has been raped truth assassin rolls of red tape seal your lips now you re done in their money tips her scales again make your deal just what is truth  i cannot tell cannot feel   the ultimate in vanity exploiting their supremacy i can t believe the things you say i can t believe i can t believe the price you pay nothing can save you   justice is lost justice is raped justice is gone pulling your strings justice is done seeking no truth winning is all find it so grim so true so real   seeking no truth winning is all find it so grim so true so real
(Anesthesia) - Pulling Teeth,Metallica,
"Atlas, Rise!",Metallica,bitterness and burden curses rest on thee solitaire and sorrow all eternity   save the earth and claim perfection deem the mass and blame rejection hold the pose reign perception grudges break your back   all you bear all you carry all you bear place it right on right on me   die as you suffer in vain own all the grief and the pain die as you hold up the skies atlas rise   how does it feel on your own bound by the world all alone crushed under heavy skies atlas rise   crucify and witness circling the sun bastardize and ruin what have you become   blame the world and blame your maker wish  em to the undertaker crown yourself the other savior so you carry on   all you bear all you carry all you bear place it right on me right on me   die as you suffer in vain own all the grief and the pain die as you hold up the skies atlas rise   how does it feel on your own bound by the world all alone crushed under heavy skies crushed under heavy skies atlas rise   masquerade as maker heavy is the crown beaten down and broken drama wears you down   overload the martyr stumbles hit the ground and heaven crumbles all alone the fear shall humble swallow all your pride   all you bear all you carry all you bear place it right on right on me   die as you suffer in vain own all the grief and the pain die as you hold up the skies atlas rise   how does it feel on your own bound by the world all alone crushed under heavy skies crushed under heavy skies atlas rise
Attitude,Metallica,suppose i say  i m never satisfied suppose i say  you cut some root to make the tree survive   just let me kill you for a while just let me kill you for a smile just let me kill you once i m oh so bored to death   i hunger i hunger i eat   born into attitude asleep at the wheel throw all your bullets in the fire and run like hell why cure the fever whatever happened to sweat   suppose i say  the vultures smile at me suppose i say  i ve sent them down and they plan to pick you clean   and satisfaction this way comes and satisfaction this way comes and satisfaction s here and gone gone gone again   i hunger i hunger i eat   born into attitude asleep at the wheel throw all your bullets in the fire and stand there   born into attitude twist mother tongue throw all your bullets in the fire and run like hell why cure the fever whatever happened to sweat   just let me kill you for a while just let me kill you for a smile just let me kill you once for me i m bored to death   and satisfaction this way comes and satisfaction this way comes and satisfaction s here and gone gone gone again   i hunger i hunger i eat   born into attitude asleep at the wheel throw all your bullets in the fire and stand there   born into attitude twist mother tongue throwing all your bullets in the fire and run like hell why cure the fever whatever happened to sweat
